job_id,job_name,group_name,item_name,quantity,unit_cost,unit_price,cost_type,cost_code
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,Hourly Rate,12,55,89,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,1x6x12 Cedar Board,3,31.33,51.694500000000005,Materials,450 Siding & Trim
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,1x8x12 cedar board,10,45.72,75.43800000000002,Materials,450 Siding & Trim
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,Hourly Rate,3,55,89,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,2x8x10 Pressure Treated Lumber,1,12.88,21.252000000000006,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,10' Vinyl Brick Molding,3,21.14,34.88100000000001,Materials,1500 Doors & Windows
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),Hourly Rate,10,55,89,Labor,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),1x8x18 Vinyl Trim Plank,2,72,118.80000000000001,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),2x6x10 Dimensional Lumber,3,13.05,21.532500000000006,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),2x4x10 Dimensional Lumber,4,5.62,9.273000000000001,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),Lexel Clear Paintable Solvent Caulk,4,11.28,18.612000000000002,Materials,6000 Completion
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),1050 Quick Dry Siliconized Acrylic Latex Caulk,4,3.31,5.461500000000001,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,Hourly Rate,12,55,89,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,1x8x12 cedar board,10,45.72,75.43800000000002,Materials,450 Siding & Trim
22PBZmrKm96T,Exterior Repairs,Cedar Siding Repair,1x6x12 Cedar Board,3,31.33,51.694500000000005,Materials,450 Siding & Trim
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,Hourly Rate,3,55,89,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,10' Vinyl Brick Molding,3,21.14,34.88100000000001,Materials,1500 Doors & Windows
22PBZmrKm96T,Exterior Repairs,Garage Door Framing/Trim Repairs,2x8x10 Pressure Treated Lumber,1,12.88,21.252000000000006,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),Hourly Rate,10,55,89,Labor,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),1x8x18 Vinyl Trim Plank,2,72,118.80000000000001,Materials,0000 Uncategorized
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),2x6x10 Dimensional Lumber,3,13.05,21.532500000000006,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),2x4x10 Dimensional Lumber,4,5.62,9.273000000000001,Materials,410 Framing
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),Lexel Clear Paintable Solvent Caulk,4,11.28,18.612000000000002,Materials,6000 Completion
22PBZmrKm96T,Exterior Repairs,Fascia/Soffit Repair (Wood),1050 Quick Dry Siliconized Acrylic Latex Caulk,4,3.31,5.461500000000001,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,2.10.1 - Exterior Fixtures/Outlets Sealing,Hourly Rate,1,55,89,Materials,210 In-House Labor
22PEizMQUtVW,Job 00082,2.10.1 - Exterior Fixtures/Outlets Sealing,Lexel Clear Paintable Solvent Caulk,1,11.28,18.612000000000002,Materials,820 Specialty Items
22PEizMQUtVW,Job 00082,2.12.1 - Deck/Porch Stairs Handrail Repair,Hourly Rate,8,55,89,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,2.12.1 - Deck/Porch Stairs Handrail Repair,2x4x10 PT,2,8.71,14.55,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,2.12.1 - Deck/Porch Stairs Handrail Repair,Deckmate 3 inch wood screw,1,12.98,21.417000000000005,Materials,410 Framing
22PEizMQUtVW,Job 00082,2.12.1 - Deck/Porch Stairs Handrail Repair,4x4x8 PT,1,10.77,17.99,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,2.12.1 - Deck/Porch Stairs Handrail Repair,4x4 Standoff Post Base,2,12.23,20.42,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,"5.4.1&2, 5.5.1-4, 5.8.3-5 - Crawlspace Moisture Mitigation/Insulation Repair",Subcontractor,1,9925,14390.31462954908,Labor,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.7.1 - Floor Point Shoring STL-22,STL-22,1,61.24,409.05,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.7.1 - Floor Point Shoring STL-22,RapidSet,1,16.18,27.02,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.7.1 - Floor Point Shoring STL-22,STL-JHD (Double) U-Head,1,68.18,136.36,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.7.1 - Floor Point Shoring STL-22,Base Plate - 12,1,56.22,108.72,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.7.1 - Floor Point Shoring STL-22,Hourly Rate,4,55,89,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,5.8.2 - Leaking Toilet Repair,Subcontractor,,1350,1957.4999999999998,Labor,0000 Uncategorized
22PEizMQUtVW,Job 00082,7.5.2 - Window Lock Replacement,Hourly Rate,0.5,55,89,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,7.5.2 - Window Lock Replacement,Special Order Materials,1,15,24.750000000000004,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,8.4.2 - Sink Drain Repair,Oatey 1-1/4 in. White Plastic Sink Drain P- Trap,1,4.69,0,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,8.4.2 - Sink Drain Repair,Hourly Rate,3,55,89,Materials,0000 Uncategorized
22PEizMQUtVW,Job 00082,"8.5.1, 8.5.5 - Seal Shower Fixtures",GESilicone 1 10.1 oz. White Bath Tub and Tile Caulk,1,8.98,16,Materials,0000 Uncategorized
