job_number,invoice_date,service_address,line_item_description,quantity,unit_price,line_amount,job_services_subtotal,job_materials_subtotal,job_total_billed,scope_notes
EST-281,2026-07-21,"500 Motor Boat Club Rd, Greenville, SC 29611",Detached Garage Feeder Rewire,1,4000.00,4000.00,4000.00,0.00,4000.00,"Full custom-quoted scope: pull meter to de-energize service, demo old feeder conduit before deck demo, install new conduit run from main panel through basement ceiling/crawlspace and underground to detached garage, reuse existing aluminum feeder conductors, re-terminate at both panels, install new grounding electrode system (ground rods + GEC) at garage, test. Customer responsible for trenching (18-24in deep). Flat-price estimate for major panel/feeder work - this is the type of job that requires a full custom quote, not per-unit pricing."
INV-2086,2026-07-20,"128 Shannon Lake Cir",Service Call Minimum Charge - dryer circuit recess repair,1,200.00,200.00,200.00,0.00,150.00,"Recessed existing dryer circuit into wall by removing/reinstalling a section of drywall. 'George Discount' -$50.00 applied at invoice level, net billed $150.00. This is Redland's minimum trip/service-call charge for a small single-item visit."
INV-2054,2026-07-01,"6 Pine Knot Dr, Pelzer, SC 29669",Pool Equipment Bonding,1,200.00,200.00,350.00,0.00,350.00,"Bonded pool equipment per code."
INV-2054,2026-07-01,"6 Pine Knot Dr, Pelzer, SC 29669",Installation of new GFCI Breaker to protect switch and outlets,1,150.00,150.00,350.00,0.00,350.00,"New GFCI breaker install for code compliance."
INV-2052,2026-06-25,"126 Caesars Pt, Cleveland, SC 29635",Exterior Back Deck Lighting,1,2500.00,2500.00,2500.00,0.00,2500.00,"Rewired/installed 4 customer-provided exterior deck light fixtures (3 new locations + 1 replacement), replaced bulbs at a 5th fixture, relocated lighting controls from lower stairwell to near screened porch door with new 2-gang switch box (one switch for flood lights, one for fountain lighting). Flat price, no separate materials line - customer provided fixtures."
INV-2036,2026-06-11,"2 W Hillcrest Dr, Greenville, SC 29609",Charging for labor for 2 plus days worth of work,2,1500.00,3000.00,3000.00,885.50,3885.50,"Day-rate labor ($1,500/day = ~$187.50/hr effective) for a large multi-item code-correction punch list: reidentified conductors in panels, corrected pool subpanel bonding screw, fixed double-tapped breakers, installed junction box covers, reattached generator junction box conduit, removed abandoned wiring, replaced light bulbs/troubleshot lighting, corrected master bath GFCI grounding, tested receptacles, reattached smoke alarm, repaired landscape lighting. Real multi-day whole-house code-compliance job."
INV-2036,2026-06-11,"2 W Hillcrest Dr, Greenville, SC 29609",Materials for code-correction punch list,1,885.50,885.50,3000.00,885.50,3885.50,"(1) AFCI circuit breaker; (2) electrical cover plates; (1) metal blank cover plate; (1) circuit breaker for pool panel surge protector; (8) landscape light fixture bulbs; (1) landscape spotlight fixture; (7) candelabra-base bulbs; (8) medium-base bulbs; (1) junction box; (7 ft) 12/2 Romex cable; (4) LED landscape light modules; (1) medium-base candle-style bulb; assorted wire nuts/tape/screws/sealant."
INV-1914,2026-02-13,"124 Antigua Way, Greer, SC 29650",Garage Lighting Project - Garage One,1,1500.00,1500.00,2500.00,0.00,2500.00,"Removed existing fixtures/junction box, installed 6 new Lithonia Lighting Contractor Select CPANL 2x4 integrated LED flat panel fixtures (white), to code."
INV-1914,2026-02-13,"124 Antigua Way, Greer, SC 29650",Garage Lighting Project - Garage Two,1,1000.00,1000.00,2500.00,0.00,2500.00,"Removed existing fixtures, installed 4 new fixture locations + 4 new Lithonia CPANL LED flat panel fixtures, to code."
INV-1915,2026-02-13,"124 Antigua Way, Greer, SC 29650",Ring Camera Light Corrections (Code Compliance),7,150.00,1050.00,1600.00,0.00,1600.00,"Prior contractor mounted Ring camera lights improperly (no approved electrical box). Removed and brought 7 fixture locations up to code with new recessed or reinstalled surface-mounted junction boxes. Customer provided cameras/mounting parts. Per-fixture code-correction rate ~$150/unit."
INV-1915,2026-02-13,"124 Antigua Way, Greer, SC 29650",Back Right Corner High Soffit Ring Camera Light - Electrical Repair,1,450.00,450.00,1600.00,0.00,1600.00,"Required 32-ft extension ladder. Prior contractor's screw penetrated/damaged wiring causing a short; no direct attic access at this corner so new wiring was fished from attic, repaired in an approved junction box, new exterior-rated bell box installed, circuit re-traced and tested."
INV-1915,2026-02-13,"124 Antigua Way, Greer, SC 29650",TV Mounting,1,100.00,100.00,1600.00,0.00,1600.00,"Installed customer-provided TV on customer-provided mount; purchased proper-length screws since kit's screws were too short."
INV-1907,2026-02-11,"124 Antigua Way, Greer, SC 29650",Troubleshoot Ring Camera Light Short - Rear Exterior (3 Locations),1,350.00,350.00,550.00,0.00,550.00,"Set up extension ladder at 3 rear exterior locations, removed lights, troubleshot electrical short in fixture/branch wiring. Replacement fixture (if defective) to be customer-provided."
INV-1907,2026-02-11,"124 Antigua Way, Greer, SC 29650",Ring Corner Camera Light Installation,1,200.00,200.00,550.00,0.00,550.00,"Removed existing exterior fixture, installed customer-provided Ring corner camera light. Pricing assumes OCC provides 32-ft extension ladder on site; +$150 fee if Redland must pick up/return ladder themselves."
INV-1908,2026-02-11,"124 Antigua Way, Greer, SC 29650",Garage Door Opener Electrical Work,3,400.00,1200.00,1200.00,0.00,1200.00,"Removed existing receptacle/low-voltage junction box, rerouted power from attic to new side-mounted garage door opener location, installed new junction box/receptacle, rerouted low-voltage safety sensor + control wiring, tested. 'Qty 3.0' likely reflects hours/complexity units at $400 rate - matches CLAUDE.md's noted ~$400/unit garage door opener rewiring benchmark."
INV-1889,2026-01-28,"124 Antigua Way, Greer, SC 29650",Electrical Gas Bond Installation,1,600.00,600.00,750.00,0.00,750.00,"Installed approved bonding conductor to gas piping for NEC grounding compliance. Original quote was $1,000; reduced because an existing properly-sized grounding conductor was found buried and usable, cutting labor/materials - real example of a quote-to-actual price adjustment based on field conditions."
INV-1889,2026-01-28,"124 Antigua Way, Greer, SC 29650",Troubleshooting Ring Cameras,1,150.00,150.00,750.00,0.00,750.00,"Troubleshot a Ring camera shorted circuit caused by the ring light installation."
INV-1841,2025-12-02,"1200 E Washington St Unit #6",Installed New Exterior GFCI Receptacle,1,150.00,150.00,350.00,0.00,350.00,"New weather-resistant (WR) GFCI receptacle with weather-rated in-use cover."
INV-1841,2025-12-02,"1200 E Washington St Unit #6",Laundry Room Box Extension,1,25.00,25.00,350.00,0.00,350.00,""
INV-1841,2025-12-02,"1200 E Washington St Unit #6",Main Neutral Repair - Electrical Panel,1,175.00,175.00,350.00,0.00,350.00,"Removed damaged main neutral wire cut halfway through, installed new Polaris lug to extend conductor, installed new 125-amp copper wire from Polaris connector to neutral bus bar."
INV-1833,2025-11-26,"1200 E Washington St Unit #6",Replaced out disconnect with new disconnect,1,250.00,250.00,250.00,0.00,250.00,""
INV-1764,2025-10-08,"103 Upper Ridge Way, Travelers Rest, SC 29690",Multiple line items - large whole-house device/fixture project (see notes),1,955.00,955.00,955.00,0.00,955.00,"Part of a large $19,100 whole-house electrical renovation contract at this address (billed across invoices #1683/1707/1731/1739/1764 as progress payments + change orders - NOT a typical closing-repair job, more like a phase-based renovation). This invoice's net $955 reflects remaining line items after a -$18,145 (95% minus deposit/progress) credit. Individual per-room line items ranged $200-$1,400 each (device/fixture/switch/receptacle counts per room) - useful as per-room device-count pricing reference: e.g. bathroom with 3-gang switch+dimmer+GFCI = $250; bedroom with smoke detector+fan+7 receptacles+dimmers = $950-$1,100; kitchen with 3 switch gangs = $1,400."
INV-1739,2025-09-17,"103 Upper Ridge Way, Travelers Rest, SC 29690",Progress Payment (15% of $19,100 contract),0.15,19100.00,2865.00,2865.00,0.00,2865.00,"Same large renovation project as #1764/1707/1731/1683. Progress payment bringing total invoiced to 95% of contract; remaining 5% billed on completion (island pendants, entry bulbs, pool table light bulbs left)."
INV-1731,2025-09-17,"103 Upper Ridge Way, Travelers Rest, SC 29690",Change Order Work - relocated 8 backsplash outlet boxes,1,750.00,750.00,1450.00,0.00,1450.00,"Removed 8 outlet boxes in backsplash, relocated to middle of splash with adjustable boxes, repulled wiring, patched sheetrock."
INV-1731,2025-09-17,"103 Upper Ridge Way, Travelers Rest, SC 29690",Change Order Work - kitchen island can light prep,1,350.00,350.00,1450.00,0.00,1450.00,"Job site protection (plastic over finishes/cabinetry), removed existing can lights above island, patched openings, cut in new 4/0 boxes for future lighting."
INV-1731,2025-09-17,"103 Upper Ridge Way, Travelers Rest, SC 29690",Provided Light Bulbs,1,350.00,350.00,1450.00,0.00,1450.00,"Time spent identifying/researching/procuring correct bulb types/sizes for all new fixtures on site - billed as a labor line, not itemized per bulb."
INV-1707,2025-08-22,"103 Upper Ridge Way, Travelers Rest, SC 29690",Progress Payment - Electrical Device & Fixture Replacement (40% of $19,100 contract),0.4,19100.00,7640.00,7640.00,0.00,7640.00,"Replaced all smoke detectors/switches/receptacles/cover plates, all central vac ports, all low-voltage sound/data devices; installed customer-provided dining room/entry/pool table/basement bath fixtures. Plus itemized change-order additions: sconce box upstairs powder bath $75, light fixture box basement bath $75, junction box relocation w/ in-wall splice kit $200, master bedroom wall sconces (new caddy boxes + backing, 4 boxes) $750, 2 recessed cans in master closet $300, pool table light fixture $200 (change-order subtotal $1,600, absorbed into this progress payment)."
INV-1683,2025-08-06,"103 Upper Ridge Way, Travelers Rest, SC 29690",Progress Payment - kitchen island/stair lighting finalization + materials procurement (40% of $19,100 contract),0.4,19100.00,7640.00,7640.00,0.00,7640.00,"Finalized kitchen island electrical, completed stair lighting install, removed all existing fixtures/cover plates, procured materials for remainder of project (central vac inlets, speaker control knobs, switches/receptacles/cover plates/smoke detectors)."
INV-1566,2025-04-22,"642 Palmetto St, Spartanburg, SC 29302",Site Visit & Storm Damage Electrical Estimate,1,400.00,400.00,400.00,0.00,400.00,"On-site assessment of storm-related electrical damage (service equipment, wiring, safety/code compliance) + written estimate. Time included travel, inspection, consultation, documentation. Billed as OCC's expense for Redland's time quoting a comparative estimate, not completed repair work."
INV-1530,2025-03-27,"24 Ben St, Greenville, SC 29601",Demo Existing Electrical,1,450.00,450.00,3450.00,0.00,3450.00,"Removed old wiring from prior fan location and can light locations, safely disconnected/terminated unused wiring."
INV-1530,2025-03-27,"24 Ben St, Greenville, SC 29601",Installation of Exterior GFCI-Protected Receptacles,1,900.00,900.00,3450.00,0.00,3450.00,"3 new surface-mounted exterior receptacles, GFCI-protected via first receptacle in circuit, dedicated circuit from exterior meter panel, weatherproof bell boxes with bottom conduit."
INV-1530,2025-03-27,"24 Ben St, Greenville, SC 29601",Electrical Installation for Unscreened Deck Area,1,1200.00,1200.00,3450.00,0.00,3450.00,"Rough-in for ceiling fan + 4 recessed 4in can lights, fan-rated junction box, 2 interior wall switches (fan + dimmer for cans). Sheetrock removal required for wiring runs; Redland not responsible for sheetrock repair."
INV-1530,2025-03-27,"24 Ben St, Greenville, SC 29601",Electrical Installation for Screened Deck Area,1,1950.00,1950.00,3450.00,0.00,3450.00,"Rough-in for 2 ceiling fans, column sconces, 6 recessed 4in can lights; 6 interior wall switches (3-way fan x2, 3-way dimmer cans, 3-way dimmer sconces). Sheetrock removal required."
INV-1530,2025-03-27,"24 Ben St, Greenville, SC 29601",Holding Final Payment (trim-out work deferred to after paint),1,-1050.00,-1050.00,3450.00,0.00,3450.00,"Deferred trim-out billed separately later: install 3 customer-provided ceiling fans $600, install 2 customer-provided sconce lights $250, install 10 LED can light trims $200."
INV-1429,2024-12-09,"3470 Highway 414, Landrum, SC 29356",Electrical Evaluation/Consultation Trip Fee,1,250.00,250.00,250.00,0.00,250.00,"Site visit for electrical evaluation/consultation - travel, assessment, discussion of recommendations. Standard trip-fee-only visit."
INV-1382,2024-11-04,"102 Confederate Cir, Taylors, SC 29687",Inspection/Troubleshooting - furnace circuit,1,250.00,250.00,250.00,0.00,250.00,"Troubleshot furnace circuit, inspected panel/furnace/AC/thermostat - voltage present at all components, thermostat was faulty (not communicating). Advised customer to hire an HVAC technician instead. Real example of a diagnostic-only visit where the issue turned out to be outside Redland's (electrical) scope."
